school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,20K187,251,205,75%,8%,332000010187.0,20.0,40.627846999999996,-74.004003,"1171 65TH ST BROOKLYN, NY 11219",BROOKLYN,11219.0,"06,07,08",06,08,No,0.48,,2%,69%,1%,6%,7%,24%,98%,2%,92%,Exceeding Target,91%,Exceeding Target,92%,Exceeding Target,90%,Exceeding Target,76%,Approaching Target,93%,Exceeding Target,Exceeding Target,3.83,4.19
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,21K239,336,196,46%,13%,332100010239.0,21.0,40.57866,-73.992391,"2401 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224.0,"06,07,08",06,08,No,0.311,,1%,28%,7%,5%,12%,54%,96%,7%,88%,Meeting Target,89%,Exceeding Target,87%,Meeting Target,86%,Meeting Target,73%,Approaching Target,91%,Meeting Target,Meeting Target,3.53,3.71
J.H.S. 054 BOOKER T. WASHINGTON,03M054,257,150,53%,23%,310300010054.0,3.0,40.800512,-73.962802,"103 W 107TH ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.221,,2%,9%,8%,12%,20%,64%,96%,5%,85%,,83%,,87%,,80%,Approaching Target,84%,Meeting Target,90%,Meeting Target,Exceeding Target,3.46,3.7
M.S. 51 WILLIAM ALEXANDER,15K051,280,122,33%,28%,331500010051.0,15.0,40.67218,-73.984625,"350 5TH AVE BROOKLYN, NY 11215",BROOKLYN,11215.0,"06,07,08",06,08,No,0.248,,2%,12%,10%,19%,29%,57%,97%,3%,87%,Exceeding Target,88%,Meeting Target,89%,Exceeding Target,85%,Meeting Target,74%,Approaching Target,90%,Meeting Target,Exceeding Target,3.5,3.49
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,02M312,163,113,62%,8%,310200010312.0,2.0,40.742571000000005,-74.002371,"333 W 17TH ST NEW YORK, NY 10011",NEW YORK,10011.0,"06,07,08",06,08,No,0.308,,1%,47%,2%,7%,10%,34%,98%,2%,88%,Meeting Target,91%,Exceeding Target,90%,Exceeding Target,83%,Meeting Target,85%,Meeting Target,92%,Meeting Target,Exceeding Target,3.62,3.94
I.S. 98 BAY ACADEMY,21K098,372,104,21%,12%,332100010098.0,21.0,40.583765,-73.95401600000001,"1401 EMMONS AVE BROOKLYN, NY 11235",BROOKLYN,11235.0,"06,07,08",06,08,No,0.445,,1%,27%,3%,10%,13%,59%,96%,8%,94%,Exceeding Target,96%,Exceeding Target,89%,Meeting Target,91%,Exceeding Target,70%,Approaching Target,94%,Meeting Target,Exceeding Target,3.47,3.8
J.H.S. 201 THE DYKER HEIGHTS,20K201,338,101,19%,16%,332000010201.0,20.0,40.618745000000004,-74.01331,"8010 12TH AVE BROOKLYN, NY 11228",BROOKLYN,11228.0,"06,07,08",06,08,No,0.5579999999999999,,8%,46%,0%,14%,14%,39%,97%,7%,92%,Exceeding Target,94%,Exceeding Target,88%,Exceeding Target,87%,Meeting Target,70%,Approaching Target,94%,Exceeding Target,Exceeding Target,3.13,3.36
J.H.S. 074 NATHANIEL HAWTHORNE,26Q074,233,95,23%,15%,342600010074.0,26.0,40.758542999999996,-73.77396999999999,"61-15 OCEANIA ST BAYSIDE, NY 11361",BAYSIDE,11361.0,"06,07,08",06,08,No,0.258,,4%,66%,5%,10%,15%,18%,98%,4%,85%,Meeting Target,87%,Exceeding Target,85%,Exceeding Target,87%,Meeting Target,73%,Approaching Target,88%,Meeting Target,Exceeding Target,3.29,3.58
J.H.S. 216 GEORGE J. RYAN,26Q216,304,95,19%,18%,342600010216.0,26.0,40.73726,-73.79446300000001,"64-20 175TH ST FLUSHING, NY 11365",FLUSHING,11365.0,"06,07,08",06,08,No,0.39899999999999997,,8%,68%,6%,11%,17%,14%,97%,5%,88%,Exceeding Target,85%,Exceeding Target,85%,Exceeding Target,81%,Meeting Target,75%,Approaching Target,86%,Approaching Target,Exceeding Target,3.1,3.41
J.H.S. 185 EDWARD BLEEKER,25Q185,250,93,17%,32%,342500010185.0,25.0,40.775121999999996,-73.8185,"147-26 25TH DR FLUSHING, NY 11354",FLUSHING,11354.0,"06,07,08",06,08,No,0.44299999999999995,,10%,55%,4%,29%,32%,12%,96%,10%,89%,Meeting Target,92%,Exceeding Target,87%,Meeting Target,87%,Meeting Target,71%,Approaching Target,93%,Meeting Target,Meeting Target,2.92,3.29
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",01M539,126,91,67%,19%,310100011539.0,1.0,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002.0,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.257,"$76,833.96 ",0%,33%,9%,11%,20%,42%,97%,3%,81%,Exceeding Target,73%,Approaching Target,85%,Meeting Target,55%,Not Meeting Target,81%,Approaching Target,74%,Not Meeting Target,Exceeding Target,3.83,4.03
J.H.S. 259 WILLIAM MCKINLEY,20K259,309,86,15%,21%,332000010259.0,20.0,40.626227,-74.014758,"7301 FT HAMILTON PKWY BROOKLYN, NY 11228",BROOKLYN,11228.0,"06,07,08",06,08,No,0.622,,11%,45%,1%,22%,23%,32%,96%,12%,95%,Exceeding Target,96%,Exceeding Target,89%,Meeting Target,91%,Exceeding Target,69%,Approaching Target,94%,Exceeding Target,Meeting Target,2.92,3.28
M.S. 158 MARIE CURIE,26Q158,236,84,22%,20%,342600010158.0,26.0,40.756375,-73.77232,"46-35 OCEANIA ST BAYSIDE, NY 11361",BAYSIDE,11361.0,"06,07,08",06,08,No,0.27399999999999997,,6%,61%,5%,14%,19%,20%,97%,5%,88%,Exceeding Target,91%,Meeting Target,83%,Meeting Target,85%,Meeting Target,72%,Approaching Target,90%,Meeting Target,Meeting Target,3.15,3.46
J.H.S. 067 LOUIS PASTEUR,26Q067,211,82,27%,15%,342600010067.0,26.0,40.762437,-73.734426,"51-60 MARATHON PKWY LITTLE NECK, NY 11362",LITTLE NECK,11362.0,"06,07,08",06,08,No,0.209,,2%,62%,3%,12%,14%,23%,98%,4%,87%,Exceeding Target,87%,Exceeding Target,83%,Meeting Target,73%,Approaching Target,73%,Approaching Target,83%,Approaching Target,Meeting Target,3.27,3.66
J.H.S. 234 ARTHUR W. CUNNINGHAM,22K234,370,79,12%,30%,332200010234.0,22.0,40.604437,-73.95517099999999,"1875 E 17TH ST BROOKLYN, NY 11229",BROOKLYN,11229.0,"06,07,08",06,08,No,0.46299999999999997,,9%,25%,17%,11%,28%,45%,96%,10%,88%,Meeting Target,89%,Exceeding Target,85%,Meeting Target,85%,Meeting Target,73%,Approaching Target,91%,Meeting Target,Meeting Target,3.09,3.32
J.H.S. 167 ROBERT F. WAGNER,02M167,258,77,18%,22%,310200010167.0,2.0,40.771827,-73.95794000000001,"220 E 76TH ST NEW YORK, NY 10021",NEW YORK,10021.0,"06,07,08",06,08,No,0.36,,4%,28%,8%,19%,27%,42%,96%,9%,85%,Exceeding Target,89%,Meeting Target,87%,Meeting Target,84%,Meeting Target,76%,Approaching Target,92%,Meeting Target,Exceeding Target,3.08,3.34
EAST SIDE MIDDLE SCHOOL,02M114,124,75,49%,12%,310200010114.0,2.0,40.780646000000004,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028.0,"06,07,08",06,08,No,0.10400000000000001,,0%,15%,3%,9%,12%,66%,98%,2%,92%,Exceeding Target,96%,Exceeding Target,92%,Exceeding Target,94%,Exceeding Target,82%,Meeting Target,96%,Exceeding Target,Exceeding Target,3.66,3.94
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,24Q073,394,73,10%,59%,342400010073.0,24.0,40.728596,-73.89329599999999,"70-02 54TH AVE MASPETH, NY 11378",MASPETH,11378.0,"06,07,08",06,08,No,0.573,,15%,27%,1%,59%,60%,13%,95%,12%,85%,Exceeding Target,86%,Exceeding Target,79%,Approaching Target,79%,Meeting Target,71%,Approaching Target,91%,Meeting Target,Exceeding Target,2.7,2.94
M.S. 255 SALK SCHOOL OF SCIENCE,02M255,108,70,55%,13%,310200010255.0,2.0,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003.0,"06,07,08",06,08,No,0.131,,0%,19%,3%,9%,13%,63%,97%,5%,93%,Meeting Target,97%,Exceeding Target,95%,Exceeding Target,96%,Exceeding Target,88%,Exceeding Target,98%,Exceeding Target,Exceeding Target,3.75,3.63
