Address (Full),Average ELA Proficiency,Average Math Proficiency,City,Collaborative Teachers %,Collaborative Teachers Rating,Community School?,District,Economic Need Index,Effective School Leadership %,Effective School Leadership Rating,Grade High,Grade Low,Grades,Latitude,Longitude,Percent Asian,Percent Black,Percent Black / Hispanic,Percent ELL,Percent Hispanic,Percent White,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,SED Code,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment %,Supportive Environment Rating,Trust %,Trust Rating,Zip,avg_math_proficiency_2017,avg_math_proficiency_2017_city_diff,avg_math_proficiency_2017_comp_diff,black_2017_num_students,dbn,econ_need_index_2017_city_diff,econ_need_index_2017_dist_diff,econ_need_index_2017_val,grade_7_2017_enrollment,grade_8_2017_enrollment,hispanic_2017_avg_ela,hispanic_2017_avg_math,hispanic_2017_num_students,num_offered,num_testtakers,pct_8th_graders_offered,pct_8th_graders_w_hs_credit_2017,pct_8th_graders_w_hs_credit_2017_city_diff,pct_8th_graders_w_hs_credit_2017_comp_diff,pct_black_hispanic,pct_hra_assistance_2017_city_diff,pct_hra_assistance_2017_dist_diff,pct_hra_assistance_2017_val,pct_math_level_3_or_4_2017,pct_math_level_3_or_4_2017_city_diff,pct_math_level_3_or_4_2017_comp_diff,pct_poverty_2017_city_diff,pct_poverty_2017_dist_diff,pct_poverty_2017_val,pct_students_w_disabilities_2017_city_diff,pct_students_w_disabilities_2017_dist_diff,pct_students_w_disabilities_2017_val,pct_temp_housing_2017_city_diff,pct_temp_housing_2017_dist_diff,pct_temp_housing_2017_val,sa_attendance_90plus_2017,sa_attendance_90plus_2017_city_diff,sa_attendance_90plus_2017_dist_diff,school_name,econ_need_index_2017_city_diff_binary,perc_testtakers,perc_testtakers_quartile,borough,dist_to_bronx_hs_of_science,dist_to_brooklyn_tech_hs,dist_to_stuyvesant_hs,min_dist_to_big_three,Community School?_Yes,Rigorous Instruction Rating_Approaching Target,Rigorous Instruction Rating_Exceeding Target,Rigorous Instruction Rating_Not Meeting Target,Rigorous Instruction Rating_nan,Collaborative Teachers Rating_Approaching Target,Collaborative Teachers Rating_Exceeding Target,Collaborative Teachers Rating_Not Meeting Target,Collaborative Teachers Rating_nan,Supportive Environment Rating_Approaching Target,Supportive Environment Rating_Exceeding Target,Supportive Environment Rating_nan,Effective School Leadership Rating_Approaching Target,Effective School Leadership Rating_Exceeding Target,Effective School Leadership Rating_Not Meeting Target,Effective School Leadership Rating_nan,Strong Family-Community Ties Rating_Approaching Target,Strong Family-Community Ties Rating_Exceeding Target,Strong Family-Community Ties Rating_Not Meeting Target,Strong Family-Community Ties Rating_nan,Trust Rating_Approaching Target,Trust Rating_Exceeding Target,Trust Rating_Not Meeting Target,Trust Rating_nan,Student Achievement Rating_Approaching Target,Student Achievement Rating_Exceeding Target,Student Achievement Rating_Not Meeting Target,Student Achievement Rating_nan,borough_bronx,borough_manhattan,borough_queens,borough_staten_island,discretionary_funding,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Major N_proportion,Oth N_proportion,NoCrim N_proportion,Prop N_proportion,Vio N_proportion
"1171 65TH ST BROOKLYN, NY 11219",3.83,4.19,BROOKLYN,0.91,Exceeding Target,No,20.0,0.48,0.9,Exceeding Target,8,06,"06,07,08",40.627846999999996,-74.004003,0.69,0.01,0.07,0.02,0.06,0.24,0.02,0.92,Exceeding Target,332000010187.0,0.76,Approaching Target,Exceeding Target,0.98,0.92,Exceeding Target,0.93,Exceeding Target,11219.0,4.17,1.46,0.11,5.0,20K187,-0.155,-0.18600000000000003,0.441,276.0,343.0,3.29,3.34,57.0,205.0,251.0,0.75,0.61,0.27,-0.24,0.08,-0.177,-0.196,0.27,0.9590000000000001,0.63,0.02,-0.03,-0.051,0.23399999999999999,-0.107,-0.035,0.099,-0.091,-0.033,0.024,0.9640000000000001,0.15,0.02,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,False,0.7317784256559767,4.0,brooklyn,18.2757777241077,4.450202565408061,6.233516296908422,4.450202565408061,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,3030128.0,0.0,0.0,1.0,0.0,0.0,1.38,5.609999999999999,8.559999999999999,3.43,2.57,0.0,0.0,0.11682242990654207,0.0,0.0
"2401 NEPTUNE AVE BROOKLYN, NY 11224",3.53,3.71,BROOKLYN,0.89,Exceeding Target,No,21.0,0.311,0.86,Meeting Target,8,06,"06,07,08",40.57866,-73.992391,0.28,0.07,0.12,0.01,0.05,0.54,0.07,0.88,Meeting Target,332100010239.0,0.73,Approaching Target,Meeting Target,0.96,0.87,Meeting Target,0.91,Meeting Target,11224.0,3.73,1.02,-0.07,81.0,21K239,-0.315,-0.228,0.282,436.0,382.0,3.32,3.3,72.0,196.0,336.0,0.46,0.701,0.36,-0.04,0.13,-0.297,-0.22399999999999998,0.15,0.812,0.49,-0.04,-0.10400000000000001,-0.061,0.16,-0.092,-0.039,0.113,-0.10300000000000001,-0.03,0.011000000000000001,0.909,0.1,-0.04,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,False,0.8795811518324608,4.0,brooklyn,21.354159779808736,7.6507213240216085,9.671762771688075,7.6507213240216085,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2027379.15,0.0,2.0,2.0,1.0,1.0,2.39,9.5,16.39,6.069999999999999,4.47,0.0,0.21052631578947367,0.12202562538133008,0.16474464579901155,0.2237136465324385
"103 W 107TH ST NEW YORK, NY 10025",3.46,3.7,NEW YORK,0.83,Meeting Target,No,3.0,0.221,0.8,Approaching Target,8,06,"06,07,08",40.800512,-73.962802,0.09,0.08,0.2,0.02,0.12,0.64,0.05,0.85,Meeting Target,310300010054.0,0.84,Meeting Target,Exceeding Target,0.96,0.87,Meeting Target,0.9,Meeting Target,10025.0,3.86,1.15,0.04,67.0,03M054,-0.43,-0.255,0.16699999999999998,290.0,250.0,3.29,3.17,108.0,150.0,257.0,0.53,0.8390000000000001,0.5,0.08,0.23,-0.369,-0.215,0.078,0.8809999999999999,0.55,0.01,-0.163,-0.09699999999999999,0.102,-0.08900000000000001,-0.10800000000000001,0.11599999999999999,-0.096,-0.07200000000000001,0.018000000000000002,0.958,0.15,0.01,J.H.S. 054 BOOKER T. WASHINGTON,False,1.028,4.0,manhattan,6.562025614737352,7.736580504539115,6.297387865782546,6.297387865782546,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,993426.0,1.0,12.0,8.0,8.0,5.0,1.6800000000000002,5.83,9.23,3.9699999999999998,2.8299999999999996,0.5952380952380952,2.058319039451115,0.866738894907909,2.0151133501259446,1.7667844522968201
"350 5TH AVE BROOKLYN, NY 11215",3.5,3.49,BROOKLYN,0.88,Meeting Target,No,15.0,0.248,0.85,Meeting Target,8,06,"06,07,08",40.67218,-73.984625,0.12,0.1,0.29,0.02,0.19,0.57,0.03,0.87,Exceeding Target,331500010051.0,0.74,Approaching Target,Exceeding Target,0.97,0.89,Exceeding Target,0.9,Meeting Target,11215.0,3.6,0.89,0.0,85.0,15K051,-0.34600000000000003,-0.24100000000000002,0.251,371.0,372.0,2.99,2.81,211.0,122.0,280.0,0.33,0.9159999999999999,0.57,0.26,0.28,-0.29600000000000004,-0.21,0.151,0.7909999999999999,0.46,0.01,-0.121,-0.09,0.14300000000000002,-0.03,-0.066,0.17600000000000002,-0.095,-0.040999999999999995,0.019,0.951,0.14,0.03,M.S. 51 WILLIAM ALEXANDER,False,0.7526881720430108,4.0,brooklyn,15.0518259923867,1.22639854733174,3.5048305334860332,1.22639854733174,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2272085.38,0.0,3.0,1.0,2.0,1.0,1.6099999999999999,6.71,10.89,4.04,3.0999999999999996,0.0,0.44709388971684055,0.09182736455463728,0.49504950495049505,0.32258064516129037
"333 W 17TH ST NEW YORK, NY 10011",3.62,3.94,NEW YORK,0.91,Exceeding Target,No,2.0,0.308,0.83,Meeting Target,8,06,"06,07,08",40.74257100000001,-74.002371,0.47,0.02,0.1,0.01,0.07,0.34,0.02,0.88,Meeting Target,310200010312.0,0.85,Meeting Target,Exceeding Target,0.98,0.9,Exceeding Target,0.92,Meeting Target,10011.0,3.96,1.25,0.06,10.0,02M312,-0.302,-0.043,0.295,180.0,174.0,2.96,2.79,32.0,113.0,163.0,0.62,0.809,0.47,0.02,0.08,-0.273,-0.043,0.174,0.9079999999999999,0.58,0.01,-0.099,0.005,0.165,-0.052000000000000005,-0.043,0.153,-0.096,-0.049,0.018000000000000002,0.983,0.17,0.03,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,False,0.9367816091954023,4.0,manhattan,11.043312836608779,3.942373536734851,1.8054179098737857,1.8054179098737857,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,7778353.23,2.0,5.0,7.0,7.0,0.0,2.17,9.07,16.42,5.38,4.51,0.9216589861751152,0.5512679162072767,0.4263093788063337,1.3011152416356877,0.0
"1401 EMMONS AVE BROOKLYN, NY 11235",3.47,3.8,BROOKLYN,0.96,Exceeding Target,No,21.0,0.445,0.91,Exceeding Target,8,06,"06,07,08",40.583765,-73.95401600000002,0.27,0.03,0.13,0.01,0.1,0.59,0.08,0.94,Exceeding Target,332100010098.0,0.7,Approaching Target,Exceeding Target,0.96,0.89,Meeting Target,0.94,Meeting Target,11235.0,3.92,1.21,0.27,41.0,21K098,-0.187,-0.10099999999999999,0.409,511.0,492.0,3.23,3.4,129.0,104.0,372.0,0.21,0.434,0.09,-0.19,0.12,-0.18100000000000002,-0.109,0.266,0.919,0.59,0.12,-0.061,-0.018000000000000002,0.203,-0.106,-0.053,0.099,-0.098,-0.024,0.017,0.9,0.09,-0.03,I.S. 98 BAY ACADEMY,False,0.7560975609756098,4.0,brooklyn,20.59453933420546,7.350758112049566,9.772126933580754,7.350758112049566,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,892680.38,0.0,1.0,6.0,1.0,0.0,2.39,9.5,16.39,6.069999999999999,4.47,0.0,0.10526315789473684,0.3660768761439902,0.16474464579901155,0.0
"8010 12TH AVE BROOKLYN, NY 11228",3.13,3.36,BROOKLYN,0.94,Exceeding Target,No,20.0,0.5579999999999999,0.87,Meeting Target,8,06,"06,07,08",40.618745000000004,-74.01331,0.46,0.0,0.14,0.08,0.14,0.39,0.07,0.92,Exceeding Target,332000010201.0,0.7,Approaching Target,Exceeding Target,0.97,0.88,Exceeding Target,0.94,Exceeding Target,11228.0,3.39,0.68,0.07,6.0,20K201,-0.091,-0.122,0.506,512.0,496.0,2.82,2.7,241.0,101.0,338.0,0.19,0.444,0.1,-0.09,0.16,-0.08800000000000001,-0.107,0.359,0.67,0.34,0.02,-0.054000000000000006,-0.07400000000000001,0.21100000000000002,-0.071,0.001,0.134,-0.067,-0.009000000000000001,0.047,0.934,0.12,0.03,J.H.S. 201 THE DYKER HEIGHTS,False,0.6814516129032258,4.0,brooklyn,19.03033155924187,5.209046446553968,6.840531524295183,5.209046446553968,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,270500.0,1.0,1.0,3.0,0.0,2.0,2.39,9.5,16.39,6.069999999999999,4.47,0.41841004184100417,0.10526315789473684,0.1830384380719951,0.0,0.447427293064877
"61-15 OCEANIA ST BAYSIDE, NY 11361",3.29,3.58,BAYSIDE,0.87,Exceeding Target,No,26.0,0.258,0.87,Meeting Target,8,06,"06,07,08",40.758542999999996,-73.77396999999998,0.66,0.05,0.15,0.04,0.1,0.18,0.04,0.85,Meeting Target,342600010074.0,0.73,Approaching Target,Exceeding Target,0.98,0.85,Exceeding Target,0.88,Meeting Target,11361.0,3.56,0.85,-0.08,49.0,26Q074,-0.376,-0.037000000000000005,0.22,389.0,389.0,3.02,2.96,114.0,95.0,233.0,0.23,0.455,0.11,-0.19,0.15,-0.319,-0.021,0.128,0.748,0.42,-0.04,-0.182,-0.017,0.083,-0.07200000000000001,0.013000000000000001,0.134,-0.083,-0.011000000000000001,0.031,0.9440000000000001,0.13,0.01,J.H.S. 074 NATHANIEL HAWTHORNE,False,0.5989717223650386,4.0,queens,10.288391378051244,11.676047167771104,12.89400122786084,10.288391378051244,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,170714.0,0.0,2.0,2.0,2.0,0.0,1.6099999999999999,6.71,10.89,4.04,3.0999999999999996,0.0,0.29806259314456035,0.18365472910927455,0.49504950495049505,0.0
"64-20 175TH ST FLUSHING, NY 11365",3.1,3.41,FLUSHING,0.85,Exceeding Target,No,26.0,0.39899999999999997,0.81,Meeting Target,8,06,"06,07,08",40.73726,-73.79446300000002,0.68,0.06,0.17,0.08,0.11,0.14,0.05,0.88,Exceeding Target,342600010216.0,0.75,Approaching Target,Exceeding Target,0.97,0.85,Exceeding Target,0.86,Approaching Target,11365.0,3.47,0.76,0.07,74.0,26Q216,-0.228,0.111,0.369,487.0,469.0,3.01,2.86,188.0,95.0,304.0,0.19,0.608,0.27,0.1,0.18,-0.237,0.061,0.21,0.7120000000000001,0.39,0.04,-0.126,0.039,0.139,-0.09,-0.005,0.11599999999999999,-0.027000000000000003,0.046,0.08800000000000001,0.9359999999999999,0.12,0.03,J.H.S. 216 GEORGE J. RYAN,False,0.6481876332622601,4.0,queens,10.967471355710899,10.132178370992202,11.588675931981284,10.132178370992202,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,88000.0,0.0,3.0,6.0,3.0,0.0,2.39,9.5,16.39,6.069999999999999,4.47,0.0,0.3157894736842105,0.3660768761439902,0.49423393739703464,0.0
"147-26 25TH DR FLUSHING, NY 11354",2.92,3.29,FLUSHING,0.92,Exceeding Target,No,25.0,0.44299999999999995,0.87,Meeting Target,8,06,"06,07,08",40.775121999999996,-73.8185,0.55,0.04,0.32,0.1,0.29,0.12,0.1,0.89,Meeting Target,342500010185.0,0.71,Approaching Target,Meeting Target,0.96,0.87,Meeting Target,0.93,Meeting Target,11354.0,3.37,0.66,0.18,36.0,25Q185,-0.188,0.006,0.409,515.0,495.0,2.84,2.75,448.0,93.0,250.0,0.17,0.308,-0.03,-0.15,0.32,-0.19399999999999998,0.002,0.253,0.65,0.32,0.07,-0.081,0.011000000000000001,0.183,-0.069,-0.02,0.13699999999999998,-0.062,-0.008,0.052000000000000005,0.8959999999999999,0.08,0.0,J.H.S. 185 EDWARD BLEEKER,False,0.5050505050505051,4.0,queens,8.067989211655956,10.214350472572043,10.98149760505589,8.067989211655956,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,813972.0,0.0,3.0,6.0,3.0,0.0,2.2199999999999998,9.219999999999999,16.89,5.45,4.62,0.0,0.3253796095444686,0.3552397868561279,0.5504587155963303,0.0
