model,model_adj_r2,model_aic,model_bic,model_f_stat,model_f_stat_pval,model_r2,pred_coef,pred_col,pred_col_pval,pred_num_miss
pct_black_hispanic,0.3126916782075232,4617.459252610221,4625.5868230275955,196.17402262958566,5.870419445873487e-37,0.3142937955077387,141.61056380516766,const,2.1015968463091307e-60,
pct_black_hispanic,0.3126916782075232,4617.459252610221,4625.5868230275955,196.17402262958566,5.870419445873487e-37,0.3142937955077387,-128.246663476041,pct_black_hispanic,5.870419445873214e-37,19.0
SED Code,0.0575586610616492,4953.571541900825,4961.78558767631,28.36115139502135,1.597834917376615e-07,0.05966232476463662,-366.2486359555199,const,2.63840394146267e-06,
SED Code,0.0575586610616492,4953.571541900825,4961.78558767631,28.36115139502135,1.597834917376615e-07,0.05966232476463662,1.2503369546915223e-09,SED Code,1.59783491737695e-07,0.0
District,0.048539016974044946,4957.848268072894,4966.062313848379,23.854830615559695,1.4492218140988784e-06,0.05066281381115645,19.865618590345367,const,0.000422023562800057,
District,0.048539016974044946,4957.848268072894,4966.062313848379,23.854830615559695,1.4492218140988784e-06,0.05066281381115645,1.5166456750876463,District,1.4492218140991346e-06,0.0
Latitude,0.04021348425968696,4961.760045941303,4969.974091716788,19.77046682036756,1.1030066884295724e-05,0.04235586487517873,5965.808487464505,const,9.536843074532229e-06,
Latitude,0.04021348425968696,4961.760045941303,4969.974091716788,19.77046682036756,1.1030066884295724e-05,0.04235586487517873,-145.37262274983405,Latitude,1.1030066884298157e-05,0.0
Longitude,0.0025890022775018062,4979.025011518581,4987.239057294066,2.1628837289435556,0.1420827018002465,0.004815366111703856,-4105.9432889741,const,0.14628781180157666,
Longitude,0.0025890022775018062,4979.025011518581,4987.239057294066,2.1628837289435556,0.1420827018002465,0.004815366111703856,-56.13450651165965,Longitude,0.1420827018002334,0.0
Zip,0.03271728338052249,4965.253237690838,4973.467283466323,16.153111600814608,6.855167038050045e-05,0.03487639658726238,-189.01584614173146,const,0.001178907278658081,
Zip,0.03271728338052249,4965.253237690838,4973.467283466323,16.153111600814608,6.855167038050045e-05,0.03487639658726238,0.021545485558093467,Zip,6.855167038051243e-05,0.0
