school_name,dbn,Longitude,Latitude,perc_testtakers,num_testtakers,grade_8_2017_enrollment,pct_poverty_2017_val,Percent Black / Hispanic,predicted_perc_testtakers,Average ELA Proficiency_stdized,pct_math_level_3_or_4_2017_city_diff_stdized,sa_attendance_90plus_2017_stdized,pct_8th_graders_w_hs_credit_2017_city_diff_stdized,min_dist_to_big_three_stdized
BROWNSVILLE ASCEND CHARTER SCHOOL,84K737,-73.917872,40.668975,0.2823529411764706,24.0,85.0,0.384,0.98,0.3318384234515491,-0.15723374329629827,0.38651077547858215,0.4478841716474166,-0.9629943136415381,-0.42150325267144345
P.S. 111 JACOB BLACKWELL,30Q111,-73.939237,40.75855,0.0,0.0,33.0,0.434,0.89,0.06802632049147692,-1.2469215464568415,-1.2285686924203068,-0.9655298726978215,-0.20481960274913935,0.03285984436397045
I.S. 98 BAY ACADEMY,21K098,-73.95401600000002,40.583765,0.7560975609756098,372.0,492.0,0.203,0.13,0.7378980899291445,2.4113160784392687,2.612701393393267,0.8751953943564424,0.38104267384953255,0.8372648241178502
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,84K355,-73.962068,40.70591500000001,0.2716049382716049,22.0,81.0,0.399,0.98,0.47948037671508864,0.20599552442388316,0.9976219254943781,0.7272799711110104,1.8973920956343304,-1.0484980875895835
METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,84X461,-73.930213,40.834312,0.2777777777777778,15.0,54.0,0.4370000000000001,0.97,0.23787517824477494,-0.6242428017936744,-0.3555527638263128,1.3846818522018183,-0.9629943136415381,-0.3290836747514833
THE SEEALL ACADEMY,20K180,-73.989464,40.62659,0.6647058823529411,113.0,170.0,0.369,0.29,0.4477868634356793,0.5173348967554673,0.9539711290646783,0.9491531059791584,-0.342669550184121,-0.11379936449809203
COLUMBIA SECONDARY SCHOOL,05M362,-73.95584699999998,40.81064,0.42857142857142855,42.0,98.0,0.274,0.65,0.7503990251332142,2.4113160784392687,2.307145818385369,1.1135035762518606,2.27647945108053,0.3397080432099517
J.H.S. 014 SHELL BANK,22K014,-73.938193,40.593515999999994,0.18807339449541285,41.0,218.0,0.264,0.64,0.1890430461863288,-0.5723529064050771,-0.3119019673966132,-0.8833546375614705,-0.5839069581953388,0.6894589422956089
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,18K588,-73.92003199999998,40.65785,0.18032786885245905,11.0,61.0,0.276,0.94,0.13085653243406387,-0.6501877494879725,-1.0539655067015081,-0.5957413145842415,-1.10084426107652,-0.33096158713793167
P.S./M.S. 138 SUNRISE,29Q138,-73.734434,40.659983,0.101010101010101,10.0,99.0,0.097,0.92,0.07504423025792939,-0.7020776448765699,-1.1412670995609075,-0.14377752133431138,0.07088029212082389,2.590674143897802
DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,84X482,-73.900529,40.827387,0.0603448275862069,7.0,116.0,0.433,0.97,0.17811529408861804,-0.8058574356537646,-0.617457542404511,-0.12734247430704024,-0.6528319319128296,-0.36718256281758543
I.S. 075 FRANK D. PAULO,31R075,-74.197201,40.544369,0.30237154150197626,153.0,506.0,0.069,0.11,0.420411565314455,1.3216282752787245,0.9976219254943781,0.4314491246201464,-0.41159452390161183,3.355645298976082
P.S. 175 CITY ISLAND,11X175,-73.78469100000002,40.84379000000001,0.3414634146341464,14.0,41.0,0.028,0.38,0.39921203892264967,0.8286742690870502,0.43016157190828186,0.2917512248883504,-0.03250716845541232,0.4247891701958426
P.S. 188 THE ISLAND SCHOOL,01M188,-73.977376,40.71987,0.0,0.0,58.0,0.483,0.93,0.15879192405532627,-0.9615271218195566,-0.6611083388342107,-1.3353184308114006,-0.30820706332537556,-0.8862443690380053
P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,16K262,-73.929959,40.683055,0.0,0.0,33.0,0.343,0.97,0.17300622644113656,0.024380890563791863,-1.1412670995609075,-1.1298803429705238,-0.9629943136415381,-0.7050320776197913
JOHN ERICSSON MIDDLE SCHOOL 126,14K126,-73.947968,40.719769,0.2447552447552448,35.0,143.0,0.353,0.84,0.19906739709473106,-0.7539675402651672,-0.5738067459748114,-0.2752578975524722,-0.06696965531415773,-0.6658226100332052
ACCION ACADEMY,12X341,-73.890915,40.842605,0.2058823529411765,7.0,34.0,0.456,0.95,0.11351300079677171,-0.88369227873666,-1.0103147102718084,-1.3846235718932114,-1.10084426107652,-0.71169821804358
I.S. 010 HORACE GREELEY,30Q010,-73.912499,40.759518,0.19112627986348124,56.0,293.0,0.208,0.58,0.3098622568838067,0.12816068134098657,0.12460599690038392,0.24244608380653884,-0.5839069581953388,0.38505622139968587
SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,-73.985349,40.739095,0.5168539325842697,46.0,89.0,0.157,0.4,0.5380546496999608,1.3216282752787245,1.172225111213177,1.1874612878745756,-1.10084426107652,-0.8308248543737818
ICAHN CHARTER SCHOOL,84X717,-73.90498199999998,40.839176,0.7741935483870968,24.0,31.0,0.476,0.99,0.4604409157875772,0.5951697398383627,0.7793679433458796,0.7190624475973744,0.8290550030132228,-0.6050127689085786
MOTT HALL COMMUNITY SCHOOL,08X467,-73.818271,40.826997,0.175,21.0,120.0,0.257,0.79,0.1437009442049714,-0.6761326971822718,-0.7484099316936101,-1.5161039481113732,-0.30820706332537556,0.1541645395211469
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,12X129,-73.88653199999997,40.845682,0.15104166666666666,29.0,192.0,0.476,0.95,0.17714249829755005,-0.7280225925708691,-0.617457542404511,-1.0148350137796314,-0.7217569056303205,-0.7754579430050759
EAST SIDE MIDDLE SCHOOL,02M114,-73.947544,40.780646,0.8551724137931035,124.0,145.0,0.049,0.12,0.8221329931776058,2.904270084630943,2.612701393393267,1.5325972754472503,2.035242043069312,0.26708512959900055
P.S. 214,12X214,-73.88028,40.839183,0.2074074074074074,28.0,135.0,0.451,0.95,0.16420161031738564,-0.7799124879594653,-0.7484099316936101,-0.9819649197250908,-0.23928208960788475,-0.6190904831959366
P.S. 207 ELIZABETH G. LEARY,22K207,-73.930304,40.613779,0.2905405405405405,43.0,148.0,0.08800000000000001,0.49,0.46503463336989204,0.9583990075585441,0.7793679433458796,0.9573706294927935,0.5188926212845142,0.3224147438048004
PELHAM GARDENS MIDDLE SCHOOL,11X566,-73.836566,40.86429,0.19745222929936307,31.0,157.0,0.251,0.95,0.15713154761446307,-0.6501877494879725,-0.7920607281233099,-1.4750163305431976,-0.3771320370428664,-0.5411935917247594
TAG YOUNG SCHOLARS,04M012,-73.94211899999998,40.79259,0.9310344827586208,54.0,58.0,0.24,0.44,0.8095719593839792,2.8523801892423455,2.569050596963567,1.2532014759836565,2.483254372233002,0.5294688485807639
COMMUNITY MATH & SCIENCE PREP,06M328,-73.937412,40.836912,0.08653846153846154,9.0,104.0,0.361,0.97,0.04985102631246269,-1.4544811280112309,-1.1412670995609075,-1.3517534778386708,-1.10084426107652,-0.3017392305645875
I.S. 303 HERBERT S. EISENBERG,21K303,-73.972436,40.58241,0.2533333333333333,38.0,150.0,0.306,0.46,0.3057725413263176,0.25788541981248053,-0.006346392388715195,-0.16021256836158068,0.5878175950020049,0.8371989754078183
P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,06M210,-73.944648,40.830009000000004,0.14814814814814814,8.0,54.0,0.348,0.99,0.30982891254443085,-0.20912363868489564,-0.1372987816778143,0.4478841716474166,1.8973920956343304,-0.10879607459736453
EAGLE ACADEMY FOR YOUNG MEN III,29Q327,-73.778987,40.691665,0.0,0.0,81.0,0.128,0.9,0.13135055337769785,-0.33884837715638844,-1.0976163031312078,0.5875820713792135,-0.30820706332537556,1.7991125509169146
